順位,勝点,ステージ,チーム,年,勝,分,敗,得点,失点,点差,試合
1,63,Ｊ１,ガンバ大阪,2014,19,6,9,59,31,28,34
2,62,Ｊ１,浦和レッズ,2014,18,8,8,52,32,20,34
3,60,Ｊ１,鹿島アントラーズ,2014,18,6,10,64,39,25,34
4,60,Ｊ１,柏レイソル,2014,17,9,8,48,40,8,34
5,60,Ｊ１,サガン鳥栖,2014,19,3,12,41,33,8,34
6,55,Ｊ１,川崎フロンターレ,2014,16,7,11,56,43,13,34
7,51,Ｊ１,横浜Ｆ・マリノス,2014,14,9,11,37,29,8,34
8,50,Ｊ１,サンフレッチェ広島,2014,13,11,10,44,37,7,34
9,48,Ｊ１,ＦＣ東京,2014,12,12,10,47,33,14,34
10,48,Ｊ１,名古屋グランパス,2014,13,9,12,47,48,-1,34
11,45,Ｊ１,ヴィッセル神戸,2014,11,12,11,49,50,-1,34
12,44,Ｊ１,アルビレックス新潟,2014,12,8,14,30,36,-6,34
13,41,Ｊ１,ヴァンフォーレ甲府,2014,9,14,11,27,31,-4,34
14,38,Ｊ１,ベガルタ仙台,2014,9,11,14,35,50,-15,34
15,36,Ｊ１,清水エスパルス,2014,10,6,18,42,60,-18,34
16,35,Ｊ１,大宮アルディージャ,2014,9,8,17,44,60,-16,34
17,31,Ｊ１,セレッソ大阪,2014,7,10,17,36,48,-12,34
18,14,Ｊ１,徳島ヴォルティス,2014,3,5,26,16,74,-58,34
1,63,Ｊ１,サンフレッチェ広島,2013,19,6,9,51,29,22,34
2,62,Ｊ１,横浜Ｆ・マリノス,2013,18,8,8,49,31,18,34
3,60,Ｊ１,川崎フロンターレ,2013,18,6,10,65,51,14,34
4,59,Ｊ１,セレッソ大阪,2013,16,11,7,53,32,21,34
5,59,Ｊ１,鹿島アントラーズ,2013,18,5,11,60,52,8,34
6,58,Ｊ１,浦和レッズ,2013,17,7,10,66,56,10,34
7,55,Ｊ１,アルビレックス新潟,2013,17,4,13,48,42,6,34
8,54,Ｊ１,ＦＣ東京,2013,16,6,12,61,47,14,34
9,50,Ｊ１,清水エスパルス,2013,15,5,14,48,57,-9,34
10,48,Ｊ１,柏レイソル,2013,13,9,12,56,59,-3,34
11,47,Ｊ１,名古屋グランパス,2013,13,8,13,47,48,-1,34
12,46,Ｊ１,サガン鳥栖,2013,13,7,14,54,63,-9,34
13,45,Ｊ１,ベガルタ仙台,2013,11,12,11,41,38,3,34
14,45,Ｊ１,大宮アルディージャ,2013,14,3,17,45,48,-3,34
15,37,Ｊ１,ヴァンフォーレ甲府,2013,8,13,13,30,41,-11,34
16,25,Ｊ１,湘南ベルマーレ,2013,6,7,21,34,62,-28,34
17,23,Ｊ１,ジュビロ磐田,2013,4,11,19,40,56,-16,34
18,14,Ｊ１,大分トリニータ,2013,2,8,24,31,67,-36,34
1,64,Ｊ１,サンフレッチェ広島,2012,19,7,8,63,34,29,34
2,57,Ｊ１,ベガルタ仙台,2012,15,12,7,59,43,16,34
3,55,Ｊ１,浦和レッズ,2012,15,10,9,47,42,5,34
4,53,Ｊ１,横浜Ｆ・マリノス,2012,13,14,7,44,33,11,34
5,53,Ｊ１,サガン鳥栖,2012,15,8,11,48,39,9,34
6,52,Ｊ１,柏レイソル,2012,15,7,12,57,52,5,34
7,52,Ｊ１,名古屋グランパス,2012,15,7,12,46,47,-1,34
8,50,Ｊ１,川崎フロンターレ,2012,14,8,12,51,50,1,34
9,49,Ｊ１,清水エスパルス,2012,14,7,13,39,40,-1,34
10,48,Ｊ１,ＦＣ東京,2012,14,6,14,47,44,3,34
11,46,Ｊ１,鹿島アントラーズ,2012,12,10,12,50,43,7,34
12,46,Ｊ１,ジュビロ磐田,2012,13,7,14,57,53,4,34
13,44,Ｊ１,大宮アルディージャ,2012,11,11,12,38,45,-7,34
14,42,Ｊ１,セレッソ大阪,2012,11,9,14,47,53,-6,34
15,40,Ｊ１,アルビレックス新潟,2012,10,10,14,29,34,-5,34
16,39,Ｊ１,ヴィッセル神戸,2012,11,6,17,41,50,-9,34
17,38,Ｊ１,ガンバ大阪,2012,9,11,14,67,65,2,34
18,14,Ｊ１,コンサドーレ札幌,2012,4,2,28,25,88,-63,34
1,86,Ｊ２,ヴァンフォーレ甲府,2012,24,14,4,63,35,28,42
2,75,Ｊ２,湘南ベルマーレ,2012,20,15,7,66,43,23,42
3,74,Ｊ２,京都サンガF.C.,2012,23,5,14,61,45,16,42
4,73,Ｊ２,横浜ＦＣ,2012,22,7,13,62,45,17,42
5,72,Ｊ２,ジェフユナイテッド千葉,2012,21,9,12,61,33,28,42
6,71,Ｊ２,大分トリニータ,2012,21,8,13,59,40,19,42
7,66,Ｊ２,東京ヴェルディ,2012,20,6,16,65,46,19,42
8,65,Ｊ２,ファジアーノ岡山,2012,17,14,11,41,34,7,42
9,64,Ｊ２,ギラヴァンツ北九州,2012,19,7,16,53,47,6,42
10,61,Ｊ２,モンテディオ山形,2012,16,13,13,51,49,2,42
11,60,Ｊ２,栃木ＳＣ,2012,17,9,16,50,49,1,42
12,59,Ｊ２,松本山雅ＦＣ,2012,15,14,13,46,43,3,42
13,56,Ｊ２,水戸ホーリーホック,2012,15,11,16,47,49,-2,42
14,55,Ｊ２,ロアッソ熊本,2012,15,10,17,40,48,-8,42
15,51,Ｊ２,徳島ヴォルティス,2012,13,12,17,45,49,-4,42
16,50,Ｊ２,愛媛ＦＣ,2012,12,14,16,47,46,1,42
17,47,Ｊ２,ザスパ草津,2012,12,11,19,31,45,-14,42
18,41,Ｊ２,アビスパ福岡,2012,9,14,19,53,68,-15,42
19,38,Ｊ２,カターレ富山,2012,9,11,22,38,59,-21,42
20,38,Ｊ２,ガイナーレ鳥取,2012,11,5,26,33,78,-45,42
21,35,Ｊ２,ＦＣ岐阜,2012,7,14,21,27,55,-28,42
22,32,Ｊ２,ＦＣ町田ゼルビア,2012,7,11,24,34,67,-33,42
1,87,Ｊ２,ガンバ大阪,2013,25,12,5,99,46,53,42
2,83,Ｊ２,ヴィッセル神戸,2013,25,8,9,78,41,37,42
3,70,Ｊ２,京都サンガF.C.,2013,20,10,12,68,46,22,42
4,67,Ｊ２,徳島ヴォルティス,2013,20,7,15,56,51,5,42
5,66,Ｊ２,ジェフユナイテッド千葉,2013,18,12,12,68,49,19,42
6,66,Ｊ２,Ｖ・ファーレン長崎,2013,19,9,14,48,40,8,42
7,66,Ｊ２,松本山雅ＦＣ,2013,19,9,14,54,54,0,42
8,64,Ｊ２,コンサドーレ札幌,2013,20,4,18,60,49,11,42
9,63,Ｊ２,栃木ＳＣ,2013,17,12,13,61,55,6,42
10,59,Ｊ２,モンテディオ山形,2013,16,11,15,74,61,13,42
11,58,Ｊ２,横浜ＦＣ,2013,15,13,14,49,46,3,42
12,56,Ｊ２,ファジアーノ岡山,2013,13,17,12,52,48,4,42
13,56,Ｊ２,東京ヴェルディ,2013,14,14,14,52,58,-6,42
14,56,Ｊ２,アビスパ福岡,2013,15,11,16,47,54,-7,42
15,55,Ｊ２,水戸ホーリーホック,2013,14,13,15,50,58,-8,42
16,49,Ｊ２,ギラヴァンツ北九州,2013,13,10,19,50,60,-10,42
17,47,Ｊ２,愛媛ＦＣ,2013,12,11,19,43,52,-9,42
18,44,Ｊ２,カターレ富山,2013,11,11,20,45,59,-14,42
19,43,Ｊ２,ロアッソ熊本,2013,10,13,19,40,70,-30,42
20,40,Ｊ２,ザスパクサツ群馬,2013,9,13,20,43,61,-18,42
21,37,Ｊ２,ＦＣ岐阜,2013,9,10,23,37,80,-43,42
22,31,Ｊ２,ガイナーレ鳥取,2013,5,16,21,38,74,-36,42
1,101,Ｊ２,湘南ベルマーレ,2014,31,8,3,86,25,61,42
2,83,Ｊ２,松本山雅ＦＣ,2014,24,11,7,65,35,30,42
3,68,Ｊ２,ジェフユナイテッド千葉,2014,18,14,10,55,44,11,42
4,67,Ｊ２,ジュビロ磐田,2014,18,13,11,67,55,12,42
5,65,Ｊ２,ギラヴァンツ北九州,2014,18,11,13,50,50,0,42
6,64,Ｊ２,モンテディオ山形,2014,18,10,14,57,44,13,42
7,63,Ｊ２,大分トリニータ,2014,17,12,13,52,55,-3,42
8,61,Ｊ２,ファジアーノ岡山,2014,15,16,11,52,48,4,42
9,60,Ｊ２,京都サンガF.C.,2014,14,18,10,57,52,5,42
10,59,Ｊ２,コンサドーレ札幌,2014,15,14,13,48,44,4,42
11,55,Ｊ２,横浜ＦＣ,2014,14,13,15,49,47,2,42
12,55,Ｊ２,栃木ＳＣ,2014,15,10,17,52,58,-6,42
13,54,Ｊ２,ロアッソ熊本,2014,13,15,14,45,53,-8,42
14,52,Ｊ２,Ｖ・ファーレン長崎,2014,12,16,14,45,42,3,42
15,50,Ｊ２,水戸ホーリーホック,2014,12,14,16,46,46,0,42
16,50,Ｊ２,アビスパ福岡,2014,13,11,18,52,60,-8,42
17,49,Ｊ２,ＦＣ岐阜,2014,13,10,19,54,61,-7,42
18,49,Ｊ２,ザスパクサツ群馬,2014,14,7,21,45,54,-9,42
19,48,Ｊ２,愛媛ＦＣ,2014,12,12,18,54,58,-4,42
20,42,Ｊ２,東京ヴェルディ,2014,9,15,18,31,48,-17,42
21,33,Ｊ２,カマタマーレ讃岐,2014,7,12,23,34,71,-37,42
22,23,Ｊ２,カターレ富山,2014,5,8,29,28,74,-46,42
